"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 02/26/2024

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 27.8167 North,-97.3917 East" 
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC)
1994,1,1,12.75,22.85
1994,1,2,9.75,23.95
1994,1,3,6.25,18.45
1994,1,4,6.45,20.65
1994,1,5,5.65,20.25
1994,1,6,13.15,25.15
1994,1,7,5.55,16.35
1994,1,8,0.05,13.75
1994,1,9,6.05,18.55
1994,1,10,14.25,21.65
1994,1,11,14.75,22.55
1994,1,12,14.15,17.95
1994,1,13,11.35,18.85
1994,1,14,8.05,20.45
1994,1,15,9.75,20.35
1994,1,16,15.75,20.95
1994,1,17,8.05,17.25
1994,1,18,4.05,13.55
1994,1,19,6.95,16.65
1994,1,20,14.05,18.45
1994,1,21,12.95,16.45
1994,1,22,12.75,16.05
1994,1,23,13.25,19.55
1994,1,24,15.25,22.85
1994,1,25,15.75,24.15
1994,1,26,15.85,26.25
1994,1,27,16.95,26.75
1994,1,28,9.05,17.65
1994,1,29,5.55,9.95
1994,1,30,4.55,13.75
1994,1,31,5.95,12.25
1994,2,1,3.15,5.35
1994,2,2,0.25,11.45
1994,2,3,7.85,15.35
1994,2,4,14.65,22.65
1994,2,5,16.45,25.45
1994,2,6,16.45,24.85
1994,2,7,16.65,25.45
1994,2,8,17.25,25.25
1994,2,9,7.55,27.35
1994,2,10,0.45,6.75
1994,2,11,2.45,14.75
1994,2,12,12.65,23.75
1994,2,13,9.85,17.05
1994,2,14,6.45,15.95
1994,2,15,11.65,17.05
1994,2,16,14.25,18.65
1994,2,17,13.05,19.85
1994,2,18,13.25,22.15
1994,2,19,15.65,24.25
1994,2,20,17.35,24.95
1994,2,21,17.05,23.55
1994,2,22,17.85,25.85
1994,2,23,10.45,18.05
1994,2,24,6.05,16.55
1994,2,25,11.55,22.15
1994,2,26,8.95,16.55
1994,2,27,8.75,15.45
1994,2,28,16.85,20.35
1994,3,1,16.35,24.25
1994,3,2,8.85,21.75
1994,3,3,11.45,20.95
1994,3,4,12.25,23.55
1994,3,5,16.45,25.25
1994,3,6,18.05,25.25
1994,3,7,17.25,26.35
1994,3,8,18.15,25.75
1994,3,9,10.15,17.45
1994,3,10,5.05,14.45
1994,3,11,7.75,17.05
1994,3,12,14.75,20.25
1994,3,13,17.25,17.75
1994,3,14,16.75,18.15
1994,3,15,16.25,19.75
1994,3,16,16.05,18.45
1994,3,17,13.85,21.45
1994,3,18,14.35,25.15
1994,3,19,16.05,24.45
1994,3,20,17.15,27.75
1994,3,21,18.65,29.45
1994,3,22,15.25,25.15
1994,3,23,19.15,28.75
1994,3,24,19.65,29.85
1994,3,25,18.95,25.55
1994,3,26,18.95,28.95
1994,3,27,18.45,24.65
1994,3,28,11.85,17.25
1994,3,29,10.25,18.85
1994,3,30,11.65,21.05
1994,3,31,12.75,19.15
1994,4,1,13.75,21.05
1994,4,2,16.75,25.05
1994,4,3,18.55,25.35
1994,4,4,16.85,24.15
1994,4,5,19.95,25.95
1994,4,6,12.45,19.15
1994,4,7,10.55,18.85
1994,4,8,16.35,25.35
1994,4,9,19.05,27.05
1994,4,10,20.65,27.25
1994,4,11,21.05,28.65
1994,4,12,20.25,21.25
1994,4,13,20.15,24.45
1994,4,14,20.25,28.05
1994,4,15,21.75,28.35
1994,4,16,19.15,21.55
1994,4,17,15.95,23.35
1994,4,18,18.85,21.45
1994,4,19,19.15,24.55
1994,4,20,19.35,24.15
1994,4,21,17.85,26.55
1994,4,22,19.55,26.75
1994,4,23,18.95,26.35
1994,4,24,18.95,26.85
1994,4,25,21.35,29.05
1994,4,26,22.05,30.25
1994,4,27,22.55,29.85
1994,4,28,22.85,29.85
1994,4,29,22.55,26.85
1994,4,30,20.65,25.65
1994,5,1,18.25,19.35
1994,5,2,14.45,25.75
1994,5,3,21.05,27.75
