"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 02/23/2024

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 46.7292 North,-117.0208 East" 
Variable List: 
soil: soil (Soil Moisture)
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
********************************************************
Year,Month,soil(in),ppt(in),tmax(degF)
1958,1,8.62,3.31,39.27
1958,2,8.62,3.40,47.35
1958,3,8.49,1.64,47.64
1958,4,8.62,4.40,53.98
1958,5,5.73,0.71,74.68
1958,6,4.20,2.54,76.39
1958,7,2.58,0.74,86.14
1958,8,1.91,0.14,88.75
1958,9,1.53,0.66,72.09
1958,10,1.42,1.80,63.84
1958,11,5.28,5.20,44.56
1958,12,8.62,4.65,40.26
1959,1,8.62,4.53,37.76
1959,2,8.62,2.22,37.94
1959,3,8.62,1.49,47.50
1959,4,7.44,1.32,57.87
1959,5,6.37,2.26,61.66
1959,6,4.37,1.72,73.17
1959,7,2.63,0.17,84.97
1959,8,1.94,1.63,78.87
1959,9,1.90,3.20,67.06
1959,10,2.19,2.34,57.81
1959,11,2.93,2.07,41.90
1959,12,3.30,1.32,38.08
1960,1,3.30,1.47,30.52
1960,2,4.56,2.12,39.45
1960,3,8.62,2.74,48.83
1960,4,8.05,2.22,56.44
1960,5,7.17,2.67,62.56
1960,6,4.12,0.85,75.15
1960,7,2.56,0.02,89.55
1960,8,1.90,1.98,77.45
1960,9,1.52,0.89,76.32
1960,10,1.50,2.18,61.68
1960,11,4.46,4.20,45.12
1960,12,4.58,1.90,34.50
1961,1,5.45,1.93,38.82
1961,2,8.62,4.76,44.06
1961,3,8.62,2.85,48.31
1961,4,8.04,2.07,54.90
1961,5,6.87,2.05,64.62
1961,6,3.87,1.04,81.07
1961,7,2.47,0.35,86.50
1961,8,1.85,0.72,90.64
1961,9,1.50,0.95,69.13
1961,10,1.43,1.66,57.20
1961,11,2.53,3.13,41.52
1961,12,2.86,2.98,35.33
1962,1,2.86,1.21,33.98
1962,2,5.31,1.28,40.95
1962,3,8.62,3.28,44.01
1962,4,7.83,1.58,61.11
1962,5,7.39,2.93,59.59
1962,6,4.52,0.69,72.97
1962,7,2.67,0.14,81.19
1962,8,1.96,0.74,78.87
1962,9,1.56,1.76,75.33
1962,10,2.54,3.09,58.44
1962,11,4.30,2.81,45.99
1962,12,6.10,2.76,39.99
1963,1,6.10,0.85,29.43
1963,2,8.62,2.70,45.55
1963,3,8.62,2.30,49.75
1963,4,8.22,2.17,53.98
1963,5,5.74,0.79,67.69
1963,6,3.89,1.50,71.80
1963,7,2.48,0.48,78.76
1963,8,1.86,0.63,84.16
1963,9,1.50,1.23,80.62
1963,10,1.26,1.13,64.20
1963,11,2.91,3.06,46.09
1963,12,3.11,2.54,34.29
1964,1,4.52,3.55,38.03
1964,2,5.43,0.69,40.68
1964,3,8.40,1.52,44.10
1964,4,7.90,1.57,53.65
1964,5,5.67,0.79,64.20
1964,6,4.62,2.88,70.63
1964,7,2.70,1.54,81.37
1964,8,1.98,1.43,76.84
1964,9,1.57,1.22,69.49
1964,10,1.39,1.17,61.59
1964,11,4.06,3.72,41.23
1964,12,4.06,6.01,34.52
1965,1,5.19,3.82,35.83
1965,2,8.62,1.40,41.90
1965,3,8.62,0.74,46.26
1965,4,8.62,3.21,58.51
1965,5,6.48,1.22,64.38
1965,6,4.41,1.77,72.63
1965,7,2.65,0.89,82.63
1965,8,1.94,1.78,80.94
1965,9,1.55,0.53,67.46
1965,10,1.30,0.35,65.82
1965,11,1.92,1.90,47.80
1965,12,2.06,0.84,38.80
1966,1,2.83,3.40,37.42
1966,2,4.26,1.27,40.24
1966,3,6.73,2.18,48.87
1966,4,5.27,0.56,58.15
1966,5,3.23,0.77,70.75
1966,6,2.22,1.19,70.14
1966,7,1.72,0.88,80.65
1966,8,1.41,0.63,83.30
1966,9,1.20,0.58,78.10
1966,10,1.08,1.47,59.61
1966,11,3.29,3.49,46.85
1966,12,5.87,3.48,40.35
1967,1,8.62,3.72,41.29
1967,2,8.56,0.72,44.58
1967,3,8.62,2.00,45.09
1967,4,8.60,2.74,51.64
1967,5,7.17,2.00,64.47
1967,6,5.35,2.41,75.27
1967,7,2.87,0.07,85.62
1967,8,2.06,0.01,91.31
1967,9,1.62,0.67,81.18
1967,10,1.74,2.56,59.79
1967,11,2.06,1.33,46.18
1967,12,2.31,3.06,35.60
1968,1,2.61,1.26,37.33
1968,2,8.61,3.81,45.81
1968,3,8.17,1.27,52.81
