"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 02/26/2024

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): -1.8125 North,-78.1875 East" 
Variable List: 
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
********************************************************
Year,Month,tmax(degC),tmin(degC)
2013,1,23.34,14.13
2013,2,22,15.31
2013,3,22.47,14.24
2013,4,23.66,14.18
2013,5,22.21,14.48
2013,6,22.1,13.58
2013,7,21.52,13.47
2013,8,23.23,13.44
2013,9,24.01,13.76
2013,10,24.24,13.52
2013,11,23.7,14.52
2013,12,23.33,14.47
2014,1,23.07,14.35
2014,2,22.78,14.68
2014,3,22.64,14.61
2014,4,22.87,13.38
2014,5,23.69,14.96
2014,6,23.09,14.77
2014,7,22.49,14.65
2014,8,23.37,13.58
2014,9,24.06,13.81
2014,10,24.34,14.32
2014,11,24.32,14.34
2014,12,23.92,14.46
2015,1,23.24,14.4
2015,2,22.87,15.48
2015,3,22.64,14.81
2015,4,23.66,14.17
2015,5,24.28,15.35
2015,6,22.99,15.37
2015,7,22.51,15.56
2015,8,24.18,14.39
2015,9,25.2,14.94
2015,10,25.76,14.55
2015,11,25.11,15.33
2015,12,25.45,14.49
2016,1,24.6,15.3
2016,2,24.3,15.1
2016,3,23.9,15
2016,4,24.3,15
2016,5,24,14.6
2016,6,23.3,14.2
2016,7,22.8,13.9
2016,8,23,14
2016,9,23.1,14.3
2016,10,24.6,14.3
2016,11,24.7,14.2
2016,12,23.9,13.9
2017,1,23.6,14.6
2017,2,24,14.7
2017,3,23.8,15.1
2017,4,23.8,14.1
2017,5,23.9,14.5
2017,6,23.1,14
2017,7,22.5,13.8
2017,8,22.3,13.9
2017,9,22.2,14.5
2017,10,21.5,14.8
2017,11,23.5,14.6
2017,12,23.7,13.6
2018,1,23.1,14
2018,2,23.3,14
2018,3,23.3,14.4
2018,4,22.8,14.3
2018,5,24.2,14.8
2018,6,22.8,13.7
2018,7,22.4,13.6
2018,8,21.1,14.2
2018,9,22.9,14.3
2018,10,24.3,14.2
2018,11,24.8,14
2018,12,24.4,14.1
2019,1,23.5,14.2
2019,2,24.2,14.7
2019,3,24.1,15.2
2019,4,24.5,15.1
2019,5,24.3,14.9
2019,6,23.6,14.3
2019,7,23,14.2
2019,8,23,13.3
2019,9,24.2,14
2019,10,24.3,14.1
2019,11,25.3,14.5
2019,12,24.7,14.6
2020,1,24,15.1
2020,2,24.6,15.4
2020,3,24,16.1
2020,4,23.9,14.5
2020,5,24.1,14.8
2020,6,23.7,14.5
2020,7,23.1,14.6
2020,8,23.8,14.1
2020,9,24.1,13.9
2020,10,24.4,14.7
2020,11,25,14.4
2020,12,24.3,14.4
2021,1,23.5,14.6
2021,2,24.3,15.1
2021,3,22.8,14.9
2021,4,23.7,14.3
2021,5,23.7,14.4
2021,6,23.5,14.3
2021,7,22.7,14.2
2021,8,23.6,13.9
2021,9,24.4,14.2
2021,10,24.8,15.1
2021,11,25.1,14.5
2021,12,24.8,15
2022,1,23.4,14.5
2022,2,23.5,14.5
2022,3,22.9,15.1
2022,4,23.9,14.4
2022,5,23.4,14.2
2022,6,22.9,13.8
2022,7,23,14.7
2022,8,23.3,13.8
2022,9,24.1,14.1
2022,10,24.3,14.6
2022,11,24.2,13.9
2022,12,23.7,13.9
2023,1,22.9,14
